Dates,BRL_FX_Spot,50d_200d_cross,CA,TB,rate,REER_discount,budget
10/10/03,2.831,0,0.65,2675,17.3651,0.045076408,-5.92
10/13/03,2.835,0,0.65,2675,17.455,0.045065208,-5.92
10/14/03,2.833,0,0.65,2675,17.095,0.051621575,-5.92
10/15/03,2.838,0,0.65,2675,16.2815,0.054898364,-5.92
10/16/03,2.851,0,0.65,2675,16.6675,0.04761136,-5.92
10/17/03,2.868,0,0.65,2675,16.5563,0.042751296,-5.92
10/20/03,2.869,0,0.65,2675,16.8894,0.037042619,-5.92
10/21/03,2.8473,0,0.65,2675,16.9441,0.039835894,-5.92
10/22/03,2.8608,0,0.65,2675,16.8078,0.038275385,-5.92
10/23/03,2.862,0,0.65,2675,16.4386,0.036387848,-5.92
10/24/03,2.87,0,0.65,2675,16.995,0.035714051,-5.92
10/27/03,2.8688,0,0.65,2675,17.0804,0.035582025,-5.92
10/28/03,2.8532,0,0.65,2675,17.045,0.042206263,-5.92
10/29/03,2.8395,0,0.65,2675,16.7983,0.045549311,-5.92
10/30/03,2.8482,0,0.65,2675,16.9142,0.044030409,-5.92
10/31/03,2.8675,0,0.65,2549,16.7718,0.04456381,-5.92
11/3/03,2.853,0,0.65,2549,17.2296,0.052526467,-5.92
11/4/03,2.8578,0,0.65,2549,17.0666,0.048951085,-5.92
11/5/03,2.868,0,0.65,2549,16.77,0.04938392,-5.92
11/6/03,2.8715,0,0.65,2549,16.8417,0.043066679,-5.92
11/7/03,2.867,0,0.65,2549,16.9181,0.044378513,-5.92
11/10/03,2.8883,0,0.65,2549,16.762,0.037755782,-5.92
11/11/03,2.9083,0,0.65,2549,16.8509,0.037962596,-5.92
11/12/03,2.9035,0,0.65,2549,16.4237,0.023794956,-5.92
11/13/03,2.9475,0,0.65,2549,16.5543,0.017235292,-5.92
11/14/03,2.9425,0,0.65,2549,16.4512,0.012921163,-5.92
11/17/03,2.9415,0,0.65,2549,16.3974,0.015192647,-5.92
11/18/03,2.9405,0,0.65,2549,16.2744,0.007963451,-5.92
11/19/03,2.9405,0,0.65,2549,15.4048,0.009945576,-5.92
11/20/03,2.9387,0,0.65,2549,15.5958,0.010252158,-5.92
11/21/03,2.9185,0,0.65,2549,15.3384,0.017984193,-5.92
11/24/03,2.9172,0,0.65,2549,15.855,0.025512799,-5.92
11/25/03,2.9335,0,0.65,2549,15.1474,0.021430992,-5.92
11/26/03,2.9465,0,0.65,2549,14.993,0.014407505,-5.92
11/27/03,2.9379,0,0.65,2549,14.8298,0.0146993,-5.92
